codigo,id_categoria,id_subcategoria,Nome,Quantidade,Descricao,Codigo Amarração,image_url,Vlr Bruto,Vlr Unitario
5233, 7,29,ASSADEIRA REDONDA FORT FLON 25,1,"- 25 X 6,7 CM",,,"48,54","48,54"
4766, 7,29,ASSADEIRA REDONDA FORT FLON 25,6,6 peças,5233,,"273,79","45,63"
3292, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 15,1,"- 15 X 6,5 CM",,,"11,29","11,29"
4715, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 15,6,6 peças,3292,,"63,67","10,61"
3006, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 20,1,"- 20 X 6,6 CM",,,"18,03","18,03"
4700, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 20,6,6 peças,3006,,"101,70","16,95"
3007, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 25,1,"- 25 X 6,7 CM",,,"25,20","25,20"
4701, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 25,6,6 peças,3007,,"142,10","23,68"
3008, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 30,1,- 30 X 7 CM,,,"32,21","32,21"
4702, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 30,6,6 peças,3008,,"181,64","30,27"
3009, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 35,1,- 35 X 7 CM,,,"46,75","46,75"
4703, 7,29,ASSADEIRA REDONDA REFORÇADA ACETINADA 35,6,6 peças,3009,,"263,67","43,95"
3291, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 15,1,- 15 X 10 CM,,,"15,07","15,07"
4704, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 15,6,6 peças,3291,,"84,97","14,16"
3283, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 20,1,- 20 X 10 CM,,,"21,54","21,54"
4705, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 20,6,6 peças,3283,,"121,51","20,25"
3284, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 25,1,- 25 X 10 CM,,,"25,36","25,36"
4706, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 25,6,6 peças,3284,,"143,02","23,84"
3285, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 30,1,- 30 X 10 CM,,,"32,38","32,38"
4707, 7,29,ASSADEIRA REDONDA ALTA REFORÇADA ACETINADA 30,6,6 peças,3285,,"182,63","30,44"
5043, 7,30,ASSADEIRA DE BOLO C/ TUBO FORT FLON 24,1,- 24 X 8 CM,,,"41,58","41,58"
4762, 7,30,ASSADEIRA DE BOLO C/ TUBO FORT FLON 24,6,6 peças,5043,,"234,50","39,08"
5044, 7,30,ASSADEIRA DE BOLO C/ TUBO FORT FLON 26,1,"- 26 X 8,4 CM ",,,"46,67","46,67"
4763, 7,30,ASSADEIRA DE BOLO C/ TUBO FORT FLON 26,6,6 peças,5044,,"263,20","43,87"
5045, 7,30,ASSADEIRA DE PUDIM FORT FLON 20,1,"- 20 X 8,1 CM",,,"28,73","28,73"
4764, 7,30,ASSADEIRA DE PUDIM FORT FLON 20,6,6 peças,5045,,"162,06","27,01"
5046, 7,30,ASSADEIRA DE PUDIM FORT FLON 22,1,"- 22 X 9,3 CM",,,"36,88","36,88"
4765, 7,30,ASSADEIRA DE PUDIM FORT FLON 22,6,6 peças,5046,,"207,99","34,67"
3116, 7,30,ASSAD DE BOLO C/ TUBO REFORÇADA ACETINADA 24,1,- 24 X 8 CM,,,"22,73","22,73"
4713, 7,30,ASSAD DE BOLO C/ TUBO REFORÇADA ACETINADA 24,6,6 peças,3116,,"128,19","21,36"
3113, 7,30,ASSAD DE BOLO C/ TUBO REFORÇADA ACETINADA 26,1,"- 26 X 8,4 CM",,,"25,63","25,63"
4714, 7,30,ASSAD DE BOLO C/ TUBO REFORÇADA ACETINADA 26,6,6 peças,3113,,"144,53","24,09"
3228, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 14,1,"- 14 X 6,2 CM",,,"8,87","8,87"
4708, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 14,6,6 peças,3228,,"50,03","8,34"
3137, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 16,1,"- 16 X 6,6 CM",,,"11,55","11,55"
4709, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 16,6,6 peças,3137,,"65,12","10,85"
3235, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 18,1,"- 18 X 7,1 CM",,,"13,83","13,83"
4710, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 18,6,6 peças,3235,,"78,01","13,00"
3115, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 20,1,"- 20 X 8,1 CM",,,"14,97","14,97"
4711, 7,30,ASSADDEIRA DE PUDIM REF ORÇADA ACETINADA 20,6,6 peças,3115,,"84,42","14,07"
